num_particles,sigma,delta,trial,est_x,est_y,est_theta,error,runtime_sec,status
2500,0.05,0.02,1,0.34314296568563807,-0.3495707193426153,-0.6833786274421128,1.7097303905492032,11.4430570602417,ok
2500,0.05,0.02,2,-0.29356948746890205,-0.29199964054025096,0.8935166405633785,0.01214047744045652,10.775748014450073,ok
2500,0.05,0.03,1,-0.09460694581288209,-0.2331822181888795,0.5332586636311625,0.4256173521792452,11.877289056777954,ok
2500,0.05,0.03,2,-0.31142009907048285,-0.2945945252954302,0.9151888882662235,0.019757027770522767,11.498323917388916,ok
2500,0.05,0.05,1,0.9485348861344112,-0.1546819624886086,2.396895213865886,1.9546488112229845,12.208076000213623,ok
2500,0.05,0.05,2,0.8856428693490458,-0.10687748229670606,1.1738410536679635,1.2320853230017301,12.51610279083252,ok
2500,0.08,0.02,1,-0.28443682745253196,-0.2884042572940552,0.8510544294078803,0.052653038556505875,11.791887283325195,ok
2500,0.08,0.02,2,0.7597420886863439,0.05345353949939787,-0.2541612578372778,1.6062599130310369,11.147474765777588,ok
2500,0.08,0.03,1,0.029207294816909393,-0.2634805093115249,0.12813193013463361,0.8399353745607451,11.16615080833435,ok
2500,0.08,0.03,2,0.8354047796287654,-0.25224775990994097,2.131280126439898,1.6755521596785092,10.747642755508423,ok
2500,0.08,0.05,1,0.8414334497577999,-0.26263137535767916,2.074310681060447,1.6380696902104934,10.924277067184448,ok
2500,0.08,0.05,2,-0.017781679031963142,-0.5543735743097147,0.46762424645437495,0.5755882975280724,12.643619775772095,ok
2500,0.1,0.02,1,-0.10070208849773471,-0.38546137289876736,0.5451286917798931,0.415880931499338,10.627597093582153,ok
2500,0.1,0.02,2,-0.0698952458935094,-0.4513089442969026,0.4571428271561663,0.5215027037570225,10.789804935455322,ok
2500,0.1,0.03,1,0.4443728853328884,-0.519473423244655,1.3598800767215933,0.9020805179666587,12.69399619102478,ok
2500,0.1,0.03,2,0.21501741083459447,-0.4559394108526005,0.6504351619980504,0.5931632504519855,12.005552053451538,ok
2500,0.1,0.05,1,0.2916514949120627,-0.02730319636853045,-0.41004286515022376,1.4630882907991254,11.294615745544434,ok
2500,0.1,0.05,2,0.3218262663844908,-0.42678940148087857,1.0897165650007432,0.6623713708556828,12.922508001327515,ok
5000,0.05,0.02,1,-0.2994732788915972,-0.29646674490388214,0.9135992691567654,0.014060634704679307,14.093638896942139,ok
5000,0.05,0.02,2,-0.2945914718241324,-0.29587129444380955,0.9015983751232376,0.006989505678762738,12.924000978469849,ok
5000,0.05,0.03,1,-0.2743545510241971,-0.3179158229465218,0.8305914149302169,0.07613289332746345,14.115809917449951,ok
5000,0.05,0.03,2,-0.17098536846174142,-0.2855853125520482,0.9076146529479482,0.13004053715935066,14.987071990966797,ok
5000,0.05,0.05,1,0.7294538981735048,-0.2685310147776522,1.588370478454679,1.2387976191063144,12.712963819503784,ok
5000,0.05,0.05,2,0.9479810878897114,-0.16806802300618673,2.4587732291709465,2.00115886982116,12.97871208190918,ok
5000,0.08,0.02,1,-0.001763300695401093,-0.2856079850742687,1.1517180854575595,0.3905307330443322,14.655220985412598,ok
5000,0.08,0.02,2,-0.22467072792312562,-0.3027725799368155,0.7705792144888275,0.14977291528666573,12.003153800964355,ok
5000,0.08,0.03,1,0.5609384662949153,-0.3869004132272389,0.8899222734131911,0.8653717612323991,13.422045946121216,ok
5000,0.08,0.03,2,0.046561982545927916,-0.7104786447702445,0.6791419008833339,0.5808409640374961,14.22360110282898,ok
5000,0.08,0.05,1,0.47178057750352037,-0.5565765502284279,1.0273634533260185,0.8232242921476001,11.65191912651062,ok
5000,0.08,0.05,2,0.6784214315346608,0.0022669848710064285,-1.1912639509135032,2.328531455707588,14.612690210342407,ok
5000,0.1,0.02,1,0.16411749562423078,-0.19692442935002868,0.5296227494865363,0.6026681762854565,15.239014148712158,ok
5000,0.1,0.02,2,0.6021956361789291,-0.1365914622021051,1.1989496207850323,0.9643807297603283,14.119308948516846,ok
5000,0.1,0.03,1,0.6128375298572282,-0.29931683218375926,1.6556927507030497,1.18505036015321,15.334328174591064,ok
5000,0.1,0.03,2,0.8551342501482033,-0.17379405372676823,2.0777619215893,1.654504826431732,12.949378728866577,ok
5000,0.1,0.05,1,0.21492302740651004,-0.6504470896957211,0.5492749203096063,0.7148195355147474,13.944569110870361,ok
5000,0.1,0.05,2,0.4571603441094795,-0.02795657802301796,-0.5995084650621033,1.701712386664044,14.188002824783325,ok
